symbol,mc
FCE.A,N/A  
FCEL,55.44M  
FCF,1.2B  
FCFS,2.59B  
FCH,999.63M  
FCN,1.4B  
FCNCA,3.98B  
FCSC,37.77M  
FCX,16.97B  
FDEF,529.21M  
FDP,2.71B  
FDS,6.36B  
FDUS,377.51M  
FDX,50.63B  
FE,12.53B  
FEIM,84.24M  
FELE,1.73B  
FELP,703.44M  
FENX,15.33M  
FET,1.66B  
FEYE,2.66B  
FF,613.81M  
FFBC,1.58B  
FFG,1.54B  
FFIC,777.13M  
FFIN,2.54B  
FFIV,8.23B  
FFKT,289.96M  
FFNM,28.96M  
FFNW,168.41M  
FGEN,1.87B  
FGL,1.68B  
FGP,560.39M  
FHCO,32.91M  
FHN,4.01B  
FIBK,1.62B  
FICO,4.12B  
FIG,3.07B  
FII,2.61B  
FINL,563.18M  
FIS,27.5B  
FISI,455.17M  
FISV,25.63B  
FITB,18.14B  
FIVE,2.9B  
FIVN,1.18B  
FIX,1.29B  
FIZZ,4.07B  
FL,7.71B  
FLIC,647.82M  
FLIR,5.06B  
FLKS,59.84M  
FLL,53.5M  
FLO,3.87B  
FLR,6.41B  
FLS,6.41B  
FLT,12.53B  
FLWS,669.66M  
FLXN,559.57M  
FLXS,389.51M  
FMBI,2.51B  
FMC,9.96B  
FMI,1.33B  
FMNB,368.11M  
FMSA,1.32B  
FNB,4.33B  
FNBC,2.44M  
FNF,11.21B  
FNFV,893.31M  
FNGN,2.48B  
FNHC,207.86M  
FNJN,68.59M  
FNLC,273.89M  
FNSR,2.63B  
FNWB,195.9M  
FOE,1.43B  
FOLD,1.11B  
FONR,150.97M  
FOR,592.28M  
FORD,9.57M  
FORM,955.61M  
FORR,687.87M  
FOSL,598.29M  
FOXA,50.11B  
FOXF,1.21B  
FPI,380.93M  
FPO,659.18M  
FPP,3.73M  
FPRX,844.58M  
FR,3.47B  
FRAN,488M  
FRBA,102.24M  
FRBK,501.27M  
FRC,14.18B  
FRD,37.78M  
FRED,514.06M  
FRGI,624.88M  
FRME,1.63B  
FRP,382.81M  
FRPH,416.53M  
FRPT,474.19M  
FRSH,84.93M  
FRT,9.17B  
FSAM,235.33M  
FSB,526.33M  
FSBK,130.45M  
FSC,596.97M  
FSFR,227.19M  
FSIC,2.21B  
FSLR,3.79B  
FSNN,33.17M  
FSP,1.21B  
FSS,963.17M  
FSTR,185.46M  
FTAI,1.21B  
FTD,511.65M  
FTEK,20.9M  
FTI,14.97B  
FTK,593.16M  
FTNT,7.04B  
FTR,1.72B  
FUEL,137.47M  
FUL,2.53B  
FULT,3.05B  
FUN,3.97B  
FUNC,92.15M  
FVE,94.99M  
FWRD,1.5B  
GABC,700.49M  
GAIA,160.62M  
GAIN,295.22M  
GALE,21.02M  
GALT,84.48M  
GBCI,2.52B  
GBDC,1.16B  
GBL,844.58M  
GBNK,727.29M  
GBR,2.86M  
GBSN,2.05M  
GBX,1.26B  
GCAP,283.22M  
GCI,843.18M  
GCO,882.7M  
GD,59.09B  
GDDY,6.75B  
GDOT,1.78B  
GDP,118.87M  
GE,243.59B  
GEF,2.87B  
GEL,3.93B  
GEN,336.2M  
GENC,229.31M  
GEO,3.81B  
GEOS,206.04M  
GERN,485.49M  
GES,814.37M  
GEVO,13.83M  
GFF,947.11M  
GFN,130.88M  
GGG,6.14B  
GGP,20.34B  
GHC,3.36B  
GHDX,1.01B  
GHL,646.99M  
GHM,212.14M  
GIFI,135.88M  
GIG,207.66M  
GIGA,7.93M  
GIII,930.72M  
GILD,83.94B  
GIMO,1.38B  
GIS,32.4B  
GK,1.92B  
GLAD,251.86M  
GLDD,272.66M  
GLF,9.11M  
GLOW,10.62M  
GLP,655.42M  
GLPI,7.53B  
GLRI,582.65k  
GLT,786.23M  
GLUU,353.02M  
GLW,26.73B  
GM,49.43B  
GME,2.45B  
GMED,2.93B  
GMO,32.49M  
GNBC,705.13M  
GNC,497.93M  
GNCA,171.6M  
GNCMA,1.28B  
GNE,183.59M  
GNMK,612.6M  
GNRC,2.21B  
GNTX,5.41B  
GNVC,16.35M  
GNW,1.82B  
GOGO,1.1B  
GOOD,507.44M  
GOOGL,652.36B  
GORO,200.64M  
GOV,1.58B  
GPC,13.58B  
GPI,1.32B  
GPIC,82.06M  
GPK,4.15B  
GPN,13.73B  
GPOR,2.95B  
GPRE,896.22M  
GPRO,1.23B  
GPS,8.92B  
GPT,4.33B  
GPX,394.76M  
GRA,4.84B  
GRBK,515.23M  
GRC,640.32M  
GROW,21.72M  
GRPN,1.86B  
GRUB,3.74B  
GS,88.16B  
GSAT,2.6B  
GSB,98.37M  
GSBC,680.6M  
GSBD,816.15M  
GSIT,159.6M  
GSM,1.58B  
GST,230.98M  
GSVC,100.48M  
GT,7.98B  
GTIM,42.43M  
GTLS,1.07B  
GTN,896.56M  
GTS,391.16M  
GTT,1.19B  
GTXI,73.63M  
GTY,868.35M  
GUID,211.6M  
GULTU,16.8M  
GV,114.53M  
GVA,1.87B  
GVP,66.18M  
GWB,2.22B  
GWGH,58.72M  
GWR,4.02B  
GWRE,4.59B  
GWW,10.21B  
GXP,6.14B  
GYRO,30.88M  
H,7.28B  
HA,2.75B  
HABT,613.25M  
HAE,2.08B  
HAFC,884.32M  
HAIN,3.85B  
HAL,41.47B  
HALL,187.83M  
HALO,1.66B  
HAS,12.63B  
HASI,1.1B  
HAWK,2.36B  
HAYN,454.28M  
HBAN,13.68B  
HBCP,260.59M  
HBHC,3.97B  
HBI,7.55B  
HBIO,83.09M  
HBMD,183.13M  
HBNC,555.74M  
HBP,186.6M  
HCA,30.14B  
HCAP,83.22M  
HCC,1.25B  
HCCI,357.07M  
HCHC,231.44M  
HCI,434.15M  
HCKT,430.41M  
HCLP,1.37B  
HCN,26.82B  
HCOM,289.82M  
HCP,14.99B  
HCSG,3.4B  
HD,187.74B  
HDNG,154.34M  
HDP,779.99M  
HDS,8.45B  
HDSN,336.47M  
HE,3.53B  
HEAR,39.4M  
HEB,14.02M  
HEES,675.92M  
HEI,5.61B  
HELE,2.44B  
HEOP,455.99M  
HEP,2.2B  
HES,15.56B  
HF,1.12B  
HFBC,96.55M  
HFC,4.63B  
HFWA,709.26M  
HGT,78M  
HH,8.29M  
HHC,5.23B  
HHS,78.85M  
HI,2.29B  
HIBB,507.31M  
HIFR,1.16B  
HIFS,368.13M  
HIG,17.79B  
HII,9B  
HIIQ,326.49M  
HIL,254.2M  
HIVE,240.95M  
HIW,5.29B  
HK,1.05B  
HL,2.33B  
HLIT,414.74M  
HLS,4.12B  
HLT,20.99B  
HLTH,101.15M  
HLX,875.59M  
HMHC,1.53B  
HMN,1.5B  
HMNF,79.57M  
HMNY,14.59M  
HMSY,1.51B  
HMTV,477.97M  
HNH,331.2M  
HNI,1.87B  
HNNA,115.43M  
HNR,73.1M  
HNRG,220.65M  
HOFT,489.75M  
HOG,9.14B  
HOLX,12.04B  
HOMB,3.44B  
HON,100.17B  
HOS,93.39M  
HOV,356.17M  
HP,6.52B  
HPP,5.12B  
HPQ,32.17B  
HPT,4.72B  
HQY,2.68B  
HR,3.89B  
HRB,5.31B  
HRC,4.92B  
HRG,3.52B  
HRL,18.42B  
HRS,13.14B  
HRT,11.55M  
HRTG,358.25M  
HRTX,757.13M  
HRZN,129.56M  
HSC,1.11B  
HSGX,35.99M  
HSIC,14.11B  
HSII,408.45M  
HSKA,681.43M  
HSNI,1.81B  
HSON,44.8M  
HST,13.54B  
HSTM,909.6M  
HSY,17.04B  
HT,839.89M  
HTA,6.39B  
HTBI,461.41M  
HTBK,518.87M  
HTBX,24.15M  
HTGC,1.1B  
HTGM,31.65M  
HTH,2.48B  
HTLD,1.59B  
HTLF,1.21B  
HTM,75.78M  
HTZ,842.14M  
HUB.B,N/A  
HUBG,1.17B  
HUBS,2.5B  
HUM,32.89B  
HUN,6.4B  
HURC,186.86M  
HURN,864.43M  
HUSA,23.59M  
HVT,489.12M  
HW,1.82B  
HWCC,106.41M  
HWKN,531.1M  
HXL,4.56B  
HYH,1.69B  
HZO,478.5M  
IART,3.58B  
IBCP,438.4M  
IBIO,32.97M  
IBKC,4B  
IBKR,14.3B  
IBM,142.78B  
IBOC,2.23B  
IBP,1.54B  
IBTX,1.63B  
ICAD,74.83M  
ICBK,153.96M  
ICCC,29.14M  
ICD,164.85M  
ICE,35.12B  
ICFI,891.11M  
ICLD,10.58M  
ICON,368.62M  
ICPT,2.81B  
ICUI,3.23B  
IDA,4.21B  
IDCC,2.85B  
IDN,41.93M  
IDRA,256.53M  
IDSA,10.17M  
IDSY,87.28M  
IDT,389.83M  
IDTI,3.16B  
IDXX,14.24B  
IEC,36.18M  
IEP,7.87B  
IESC,337.08M  
IEX,8.14B  
IFF,10.65B  
IFMI,14.11M  
IFON,6.27M  
IGC,11.57M  
IHC,295.27M  
IHT,21.11M  
III,155.41M  
IIIN,611.09M  
IIN,53.04M  
IIVI,1.92B  
ILMN,25.84B  
IMDZ,186.67M  
IMGN,469.08M  
IMH,316.24M  
IMI,43.12M  
IMKTA,766.83M  
IMMR,233.34M  
IMMU,805.59M  
IMMY,75.85M  
IMNP,24.97M  
IMPV,1.59B  
IMUC,4.16M  
INAP,258.99M  
INBK,171.54M  
INCR,3.03B  
INCY,26.91B  
INDB,1.67B  
INFI,89.79M  
INFN,1.35B  
INFU,29.58M  
INGN,1.73B  
INGR,8.28B  
INN,1.79B  
INO,535.45M  
INOD,41.4M  
INOV,1.91B  
INS,33.66M  
INSM,1.06B  
INSY,908.12M  
INT,2.57B  
INTC,166.63B  
INTG,67.46M  
INTL,637.27M  
INTT,81.9M  
INTU,32.07B  
INTX,121.52M  
INUV,32.83M  
INVE,64.15M  
INVN,1.24B  
INVT,2.22M  
INWK,585.91M  
IO,53.42M  
IOSP,1.49B  
IOT,36.14M  
IP,21.1B  
IPAR,1.08B  
IPAS,84.2M  
IPCC,1.05B  
IPDN,35.1M  
IPG,9.61B  
IPGP,7.3B  
IPHI,1.62B  
IPHS,842.4M  
IPI,295.56M  
IPWR,32.61M  
IRBT,2.56B  
IRDM,968.94M  
IRET,844.27M  
IRIX,104.25M  
IRM,9.24B  
IRMD,90.84M  
IROQ,78.18M  
IRT,633.19M  
IRWD,2.62B  
ISBC,4.07B  
ISCA,1.61B  
ISDR,36.18M  
ISIG,11.37M  
ISLE,950.44M  
ISNS,18.02M  
ISR,32.45M  
ISRG,32.06B  
ISSC,62.27M  
ISTR,197.6M  
IT,10.26B  
ITCI,464.17M  
ITEK,47.23M  
ITG,671.88M  
ITI,187.96M  
ITRI,2.53B  
ITT,3.46B  
ITW,47.33B  
IVAC,272.18M  
IVC,480.26M  
IVR,1.78B  
IVZ,12.86B  
IXYS,464.69M  
JACK,3.06B  
JAGX,10.25M  
JAKK,98.62M  
JASN,36.03M  
JBHT,9.25B  
JBL,5.21B  
JBLU,7.1B  
JBSS,725.16M  
JBT,2.65B  
JCAP,219.8M  
JCI,39.96B  
JCOM,3.93B  
JCP,1.41B  
JCS,39.35M  
JEC,6.38B  
JIVE,420.75M  
JJSF,2.45B  
JKHY,7.81B  
JLL,5.08B  
JMBA,111.29M  
JMP,117.04M  
JNJ,342.12B  
JNP,43.92M  
JNPR,11.28B  
JNS,2.53B  
JOB,57.69M  
JOE,1.26B  
JONE,245.64M  
JOUT,436.92M  
JOY,2.82B  
JPM,301.17B  
JTPY,31.96M  
JUNO,2.51B  
JVA,27.73M  
JW.A,N/A  
JWN,6.77B  
JYNT,53.64M  
K,24.88B  
KAI,772.79M  
KALU,1.39B  
KAMN,1.3B  
KAR,5.89B  
KATE,2.37B  
KBAL,633.35M  
KBH,1.83B  
KBIO,36.9M  
KBR,2.11B  
KCAP,130.61M  
KCG,1.32B  
KCLI,476.7M  
KE,440.82M  
KED,198.48M  
KEG,413.79M  
KELYA,916.95M  
KEM,618.64M  
KEQU,62.92M  
KERX,681.17M  
KEX,3.62B  
KEY,19.43B  
KEYS,6.92B  
KEYW,424.55M  
KFRC,466.9M  
KFY,1.81B  
KIM,7.9B  
KIN,163.17M  
KINS,157.23M  
KIRK,154.34M  
KITE,4B  
KLAC,15.96B  
KLXI,2.49B  
KMB,45.15B  
KMG,671.17M  
KMI,43.58B  
KMPH,59.32M  
KMPR,1.93B  
KMT,3.08B  
KMX,11.99B  
KN,1.58B  
KND,869.18M  
KNL,1.11B  
KNX,2.55B  
KO,187.57B  
KODK,420.35M  
KONA,42.92M  
KOOL,30.01M  
KOP,781.28M  
KOPN,266.94M  
KOSS,12.85M  
KPTI,468.83M  
KR,26.68B  
KRA,1.08B  
KRC,7.2B  
KRG,1.63B  
KRNY,1.17B  
KRO,2.27B  
KS,1.96B  
KSS,6.45B  
KSU,9.58B  
KTCC,73.27M  
KTOS,858.41M  
KTWO,940.53M  
KVHI,152.37M  
KWR,1.82B  
L,15.46B  
LABL,1.33B  
LAD,2.26B  
LADR,1.65B  
LAKE,78.45M  
LAMR,6.93B  
LANC,3.34B  
LAND,132.25M  
LARK,121.32M  
LAWS,174.51M  
LAYN,151.31M  
LB,13.95B  
LBAI,894.93M  
LBIO,361.64M  
LBRDK,15.18B  
LBY,180.39M  
LC,2.29B  
LCI,742.75M  
LCNB,200.58M  
LCUT,270.38M  
LDL,830.42M  
LDOS,7.87B  
LDR,511.39M  
LE,579.73M  
LEA,9.88B  
LECO,5.87B  
LEE,110.33M  
LEG,6.7B  
LEN,11.97B  
LEU,38.16M  
LFUS,3.59B  
LFVN,62.48M  
LGCY,153.96M  
LGIH,701.13M  
LGL,13.19M  
LGND,2.39B  
LH,14.28B  
LHCG,1.09B  
LHO,3.23B  
LIFE,80.94M  
LII,7.49B  
LIME,21.2M  
LINC,75.89M  
LION,561.59M  
LIVE,22.22M  
LJPC,752.08M  
LKFN,1.09B  
LKQ,9.57B  
LL,826.83M  
LLEX,271.26M  
LLL,12.67B  
LLNW,329.33M  
LLY,81.84B  
LM,3.71B  
LMAT,563.15M  
LMIA,188.45M  
LMNR,263.63M  
LMNX,909.71M  
LMOS,425.49M  
LMRK,356.03M  
LMT,78.96B  
LNC,14.66B  
LNCE,3.52B  
LNDC,361.79M  
LNG,11.83B  
LNN,901.77M  
LNT,9.06B  
LOCO,525.08M  
LODE,34.55M  
LOGM,5.95B  
LOPE,3.67B  
LORL,1.16B  
LOV,33.06M  
LOW,72.58B  
LOXO,1.21B  
LPCN,68.57M  
LPG,474.37M  
LPI,3.09B  
LPLA,3.61B  
LPNT,2.5B  
LPSN,566.91M  
LPT,6.19B  
LPTH,68.73M  
LPX,3.27B  
LQ,1.63B  
LQDT,210.96M  
LRAD,58.19M  
LRCX,24.58B  
LRN,789.68M  
LSCC,854.05M  
LSTR,3.43B  
LTBR,18.63M  
LTC,1.9B  
LTM,6.79B  
LTRE,26.45M  
LTRPA,1.04B  
LTRX,41.68M  
LTS,417.23M  
LTXB,1.56B  
LUB,75.93M  
LUK,8.87B  
LUNA,41.31M  
LUV,35.09B  
LVLT,21.53B  
LVNTA,4.36B  
LVS,44.98B  
LWAY,163.64M  
LXP,2.32B  
LXRX,1.53B  
LXU,247.98M  
LYTS,217.67M  
LYV,6.96B  
LZB,1.33B  
M,7.01B  
MA,126.03B  
MAA,11.78B  
MAC,9.05B  
MAG,959.06M  
MAIN,2.13B  
MAN,6.84B  
MANH,3.3B  
MANT,1.47B  
MAR,38.96B  
MARA,6.05M  
MARK,67.96M  
MARPS,8.1M  
MAS,11.84B  
MASI,4.38B  
MAT,7.58B  
MATR,83.35M  
MATW,2.04B  
MATX,1.27B  
MBFI,3.49B  
MBI,1.08B  
MBII,40.76M  
MBRG,288.49M  
MBTF,235.51M  
MBUU,442.74M  
MBVT,345.26M  
MBWM,513.9M  
MC,1.97B  
MCBC,312.63M  
MCBK,69.75M  
MCC,336.65M  
MCD,120.75B  
MCEP,64.85M  
MCF,182.33M  
MCHP,17.35B  
MCHX,127.46M  
MCK,32.45B  
MCO,21.92B  
MCRI,519.54M  
MCS,873.37M  
MCY,3.03B  
MCZ,4.41M  
MD,5.04B  
MDC,1.77B  
MDCA,495.39M  
MDCO,3.07B  
MDLY,170.94M  
MDLZ,69.39B  
MDP,2.39B  
MDR,1.85B  
MDRX,2.16B  
MDSO,4.12B  
MDU,5.15B  
MDVX,23.54M  
MDXG,1.58B  
MED,510.48M  
MEET,323.94M  
MEI,1.42B  
MEIL,436.6k  
MEIP,59.57M  
MELA,N/A  
MEMP,10.48M  
MEP,359.5M  
MET,54.31B  
MFA,3.22B  
MFNC,87.88M  
MFRI,59.79M  
MFSF,240.89M  
MG,609.08M  
MGCD,36.93M  
MGEE,2.2B  
MGI,914.99M  
MGLN,1.61B  
MGM,17.96B  
MGNX,673.64M  
MGPI,898.16M  
MGRC,815.61M  
MHH,30.64M  
MHK,17.1B  
MHO,705.41M  
MIC,6.46B  
MICT,7.79M  
MIDD,7.4B  
MIK,3.74B  
MIND,47.95M  
MINI,1.23B  
MITK,287.01M  
MITT,507.28M  
MJN,16.34B  
MKC,12.59B  
MKL,13.3B  
MKSI,4.27B  
MKTX,7B  
MLAB,537.93M  
MLHR,1.9B  
MLI,1.64B  
MLM,14.34B  
MLNK,86.34M  
MLP,325.11M  
MLR,270.75M  
MLVF,141.25M  
MMC,38.36B  
MMI,914.95M  
MMLP,715.21M  
MMM,116.94B  
MMP,16.88B  
MMS,4.06B  
MMSI,1.67B  
MN,383.98M  
MNGA,10.86M  
MNI,64.32M  
MNKD,114.14M  
MNOV,190.32M  
MNR,1.07B  
MNRO,1.64B  
MNST,27.08B  
MNTA,1.15B  
MNTX,113.38M  
MO,136.95B  
MOBL,493.17M  
MOC,27.67M  
MOCO,175.72M  
MOD,620.88M  
MODN,357.14M  
MOFG,419.81M  
MOG.A,N/A  
MOH,3.84B  
MON,50.95B  
MORE,1.63B  
MORN,3.15B  
MOS,8.3B  
MOSY,4.67M  
MOV,508.37M  
MPAA,564.37M  
MPC,27.38B  
MPG,1.49B  
MPLX,13.52B  
MPO,441.41M  
MPW,4.8B  
MPWR,3.92B  
MPX,449.2M  
MRCC,260.03M  
MRCY,1.86B  
MRGE,540M  
MRIN,51.25M  
MRK,174.45B  
MRLN,301.85M  
MRNS,25.78M  
MRO,12.35B  
MRTN,776.34M  
MRTX,91.03M  
MRVC,59.52M  
MS,77.32B  
MSA,2.94B  
MSB,182.37M  
MSBF,88.2M  
MSCC,5.56B  
MSCI,8.94B  
MSEX,546.17M  
MSFG,830.4M  
MSFT,522.6B  
MSG,4.64B  
MSI,13.21B  
MSL,160.51M  
MSM,4.87B  
MSN,34.37M  
MSON,91.59M  
MSTR,2.1B  
MSTX,476.74k  
MTB,24.2B  
MTBC,21.48M  
MTD,14.56B  
MTDR,2.44B  
MTEX,38.77M  
MTG,3.93B  
MTGE,819.78M  
MTH,1.64B  
MTN,8.09B  
MTOR,1.42B  
MTR,27.3M  
MTRN,690.53M  
MTRX,235.41M  
MTSC,893.17M  
MTSI,3.59B  
MTW,791.23M  
MTX,2.55B  
MTZ,3.43B  
MU,30.78B  
MUSA,2.52B  
MVC,198.5M  
MVIS,143.4M  
MVO,71.88M  
MWA,1.8B  
MXC,7.68M  
MXIM,13.24B  
MXL,2.03B  
MXPT,45.9M  
MXWL,205.2M  
MYCC,851.23M  
MYE,499.31M  
MYGN,1.44B  
MYOS,13.33M  
MYRG,466.88M  
NAII,69.04M  
NAME,174.24M  
NANO,685.58M  
NATH,262.7M  
NATI,4.81B  
NAUH,58.62M  
NAV,2.54B  
NAVB,73.3M  
NAVG,1.52B  
NAVI,3.97B  
NBHC,831.05M  
NBIX,4.65B  
NBL,15.21B  
NBN,167.17M  
NBS,N/A  
NBTB,1.55B  
NBY,45.16M  
NC,450.35M  
NCI,917.57M  
NCIT,250.03M  
NCLH,11.25B  
NCMI,1.19B  
NCOM,481.62M  
NCR,4.77B  
NCS,1.2B  
NDAQ,11.14B  
NDLS,194.81M  
NDRO,106.42M  
NDSN,7.44B  
NECB,103.37M  
NEE,64.27B  
NEM,17.93B  
NEO,580.81M  
NEOG,2.33B  
NEOT,31.67M  
NEP,1.82B  
NETE,13.57M  
NEU,5.46B  
NEWM,661.18M  
NEWR,2.29B  
NEWS,376.98M  
NFBK,816.18M  
NFG,4.82B  
NFLX,67.68B  
NFX,6.82B  
NGHC,2.28B  
NGL,1.88B  
NGS,340.25M  
NGVC,212.52M  
NHC,1.06B  
NHI,3.13B  
NHLD,33.46M  
NHTC,312.5M  
NI,7.99B  
NICK,65.11M  
NJR,3.49B  
NKE,85.46B  
NKSH,275.19M  
NKTR,2.94B  
NL,455.4M  
NLNK,431.96M  
NLS,565.09M  
NLST,74.21M  
NLY,11.72B  
NMBL,1.11B  
NMFC,1.08B  
NMIH,627.75M  
NMRX,78.15M  
NNBR,755.29M  
NNI,1.69B  
NNN,5.63B  
NNVC,81.04M  
NOC,43.62B  
NOG,104.63M  
NOV,13.23B  
NOW,16.87B  
NP,1.27B  
NPK,724.2M  
NPO,1.44B  
NPTN,354.59M  
NR,710.78M  
NRCIA,652.12M  
NRG,4.97B  
NRIM,203.52M  
NRP,379.8M  
NRT,66.72M  
NRZ,4.94B  
NS,4.34B  
NSA,1.65B  
NSC,35.13B  
NSEC,39.27M  
NSH,1.13B  
NSIT,1.5B  
NSM,1.71B  
NSP,1.68B  
NSPR,4.19M  
NSR,1.84B  
NSSC,167.72M  
NSTG,382.62M  
NSYS,8.88M  
NTAP,10.71B  
NTCT,3.18B  
NTGR,1.4B  
NTIC,73.76M  
NTIP,105.84M  
NTN,17.67M  
NTRI,1.49B  
NTRS,19.96B  
NTWK,50.1M  
NUAN,5.43B  
NUE,18.08B  
NURO,4.21M  
NUS,2.95B  
NUTR,258.91M  
NUVA,3.59B  
NVAX,293.92M  
NVDA,80.86B  
NVEC,382.59M  
NVFY,37.49M  
NVIV,69.13M  
NVR,8.72B  
NVRO,2.14B  
NVTA,381.17M  
NWBI,1.57B  
NWBO,28.84M  
NWE,2.9B  
NWFL,162.41M  
NWHM,235.34M  
NWL,25.51B  
NWLI,1.09B  
NWN,1.7B  
NWPX,132.45M  
NWSA,7.53B  
NWY,96.66M  
NX,678.18M  
NXRT,527.36M  
NXST,2.72B  
NXTD,16.18M  
NXTM,1.41B  
NYCB,6.35B  
NYMT,683.36M  
NYNY,729.54M  
NYRT,1.46B  
NYT,2.8B  
O,14.82B  
OA,5.61B  
OAK,7.03B  
OAKS,91.91M  
OAS,2.84B  
OBCI,40.19M  
OC,6.88B  
OCC,20.62M  
OCFC,863.76M  
OCIP,813.43M  
OCLR,1.42B  
OCN,321.42M  
OCRX,30.49M  
OCUL,301.31M  
ODC,248.83M  
ODFL,7.09B  
ODP,2.6B  
OESX,39.35M  
OFC,3.44B  
OFED,159.23M  
OFG,424.09M  
OFLX,594.91M  
OFS,188.33M  
OGE,6.83B  
OGEN,25.62M  
OGS,3.59B  
OGXI,10.56M  
OHAI,30.26M  
OHI,6.6B  
OHRP,36.82M  
OI,3.54B  
OII,2.66B  
OIS,1.58B  
OKE,10.85B  
OKS,14.41B  
OKSB,459.7M  
OLBK,298.29M  
OLED,5.39B  
OLN,5.18B  
OLP,417.57M  
OMC,19.4B  
OMCL,1.52B  
OME,407.3M  
OMED,136.2M  
OMER,706.11M  
OMEX,31.46M  
OMI,1.97B  
OMN,393.18M  
ON,6.48B  
ONB,2.19B  
ONCE,1.67B  
ONDK,245.72M  
ONTX,19.83M  
ONVI,31.74M  
ONVO,291.31M  
OPB,835.72M  
OPGN,21.09M  
OPHT,88.2M  
OPK,3.7B  
OPOF,152.09M  
OPTT,17.31M  
