symbol,mc
OPXA,4.58M  
OPY,208.47M  
ORA,2.83B  
ORBC,684.43M  
ORCL,182.32B  
OREX,47.97M  
ORI,5.07B  
ORIT,756.99M  
ORLY,22.88B  
ORM,165.5M  
ORN,200.65M  
ORRF,180.82M  
OSBC,338.7M  
OSIR,205.43M  
OSIS,1.44B  
OSK,4.82B  
OSTK,362.43M  
OSUR,838.72M  
OTEL,22.76M  
OTIC,405.44M  
OTTR,1.48B  
OUT,3.18B  
OVAS,47.07M  
OVLY,114.55M  
OXM,918.58M  
OXY,46.36B  
OZM,1.15B  
OZRK,5.72B  
P,2.22B  
PAA,20.13B  
PACB,364.85M  
PACW,5.57B  
PAG,3.76B  
PAGP,15.57B  
PAH,3.84B  
PAHC,1.35B  
PANL,123.71M  
PANW,10.72B  
PAR,130.96M  
PARR,775.23M  
PATI,67.43M  
PATK,1.12B  
PAY,1.95B  
PAYC,3.86B  
PAYX,20.66B  
PB,4.47B  
PBCT,5.66B  
PBF,2.47B  
PBFX,845.45M  
PBH,2.62B  
PBHC,64.72M  
PBI,2.8B  
PBIB,62.02M  
PBIP,153.08M  
PBPB,269.24M  
PBT,459.56M  
PBYI,1.4B  
PCAR,22.07B  
PCBK,544.01M  
PCG,33.49B  
PCH,1.8B  
PCLN,88.86B  
PCMI,235.05M  
PCO,156.57M  
PCRX,1.94B  
PCTI,105.73M  
PCTY,2.26B  
PCYG,231.98M  
PCYO,182.91M  
PDCE,3.52B  
PDCO,4.06B  
PDEX,22.88M  
PDFS,543.53M  
PDLI,375.09M  
PDM,3.12B  
PDVW,310.52M  
PE,9.05B  
PEB,2.2B  
PEBK,148.99M  
PEBO,561.82M  
PED,3.57M  
PEG,22.27B  
PEGA,4.36B  
PEGI,1.93B  
PEI,853.13M  
PEIX,276.46M  
PENN,1.76B  
PEP,162.41B  
PER,154.88M  
PERF,17.82M  
PERY,293.6M  
PES,224.11M  
PESI,42.7M  
PETS,722.06M  
PETX,252.42M  
PF,7.06B  
PFBC,720.03M  
PFBI,205.37M  
PFBX,69.68M  
PFE,193.72B  
PFG,17.53B  
PFIE,72.82M  
PFIN,22.52M  
PFIS,299.84M  
PFLT,454.72M  
PFMT,120.7M  
PFNX,98.75M  
PFPT,3.59B  
PFS,1.53B  
PFSI,1.41B  
PG,220.57B  
PGC,518.56M  
PGEM,1.17B  
PGNX,490.87M  
PGR,23.87B  
PGRE,4.14B  
PGTI,578.23M  
PH,20.94B  
PHH,730.21M  
PHIIK,150.98M  
PHM,7.3B  
PHMD,6.02M  
PHX,308.37M  
PICO,377.37M  
PIH,44.38M  
PII,5.51B  
PINC,4.82B  
PIP,44.73M  
PIR,436.79M  
PJC,869.14M  
PKBK,143.62M  
PKD,199.85M  
PKE,328.81M  
PKG,9.28B  
PKI,6.82B  
PKOH,444.56M  
PKY,986.06M  
PLAB,694.16M  
PLBC,90.01M  
PLCE,1.86B  
PLD,29.73B  
PLKI,1.64B  
PLOW,659.65M  
PLPC,255.03M  
PLPM,182.6M  
PLT,1.76B  
PLUG,423.44M  
PLUS,1.04B  
PLXS,1.69B  
PM,178.21B  
PMBC,183.09M  
PMC,772.7M  
PMD,119.52M  
PMT,1.18B  
PN,82.99M  
PNC,57.47B  
PNFP,2.98B  
PNK,1.08B  
PNM,2.89B  
PNNT,540.77M  
PNRA,7.02B  
PNW,9.43B  
PODD,2.43B  
POL,3.08B  
POOL,4.93B  
POPE,307.22M  
POR,4.03B  
POST,5.41B  
POWI,1.94B  
POWL,366.86M  
PPBI,1.35B  
PPC,5.93B  
PPG,27.34B  
PPHM,163.74M  
PPL,26.52B  
PQ,48.59M  
PRA,3.11B  
PRAA,1.72B  
PRAH,4.37B  
PRCP,73.85M  
PRFT,580.53M  
PRGS,1.4B  
PRGX,138.28M  
PRI,3.48B  
PRIM,1.18B  
PRK,1.53B  
PRKR,36.63M  
PRLB,1.69B  
PRMW,331.41M  
PRO,864.12M  
PROV,149.86M  
PRPH,32.94M  
PRSC,629.32M  
PRSS,44.22M  
PRTO,22.64M  
PRTS,110.81M  
PRU,44.61B  
PRXL,4.02B  
PSA,37.29B  
PSB,4.22B  
PSDV,88.16M  
PSEC,2.95B  
PSIX,99.72M  
PSMT,2.7B  
PSTB,607.35M  
PSX,40.38B  
PSXP,5.71B  
PTC,6.35B  
PTEN,4.85B  
PTIE,27.85M  
PTLA,2.22B  
PTN,64.18M  
PTSI,106.92M  
PTX,45.97M  
PVCT,18.48M  
PVH,7.83B  
PVTB,4.8B  
PW,12.73M  
PWOD,183.78M  
PWR,4.78B  
PX,36.88B  
PXD,30.04B  
PXLW,161.99M  
PZN,578.16M  
PZZA,2.87B  
Q,18.27B  
QADA,558.62M  
QBAK,12.15M  
QCCO,7.02M  
QCOM,85.2B  
QCRH,566.98M  
QDEL,810.55M  
QEP,2.72B  
QLYS,1.57B  
QNST,165.94M  
QRHC,41.85M  
QRVO,9.55B  
QSII,888.79M  
QTM,269.3M  
QTS,2.79B  
QTWO,1.6B  
QTWW,N/A  
QUAD,1.18B  
QUIK,109.79M  
QUMU,26.83M  
QVCA,10.71B  
R,3.4B  
RAD,3.65B  
RAI,94.66B  
RAIL,209.53M  
RAND,18.33M  
RARE,2.43B  
RAS,216.9M  
RATE,944.33M  
RAVE,22.06M  
RAVN,1.16B  
RBC,3.52B  
RBCAA,708.06M  
RBCN,24.66M  
RBPAA,123M  
RCII,580.91M  
RCKY,103.05M  
RCL,22.83B  
RCMT,61.25M  
RDC,1.74B  
RDI,369.38M  
RDN,3.54B  
RDNT,361.21M  
RECN,391.43M  
REED,45.44M  
REFR,26.45M  
REG,10.32B  
REGI,439.98M  
REGN,47.58B  
REI,664.24M  
REIS,209.58M  
RELL,78M  
RELV,14.56M  
REN,969.68M  
REPH,157.74M  
RES,4.36B  
RESI,764.74M  
RESN,65.42M  
REV,1B  
REX,650.95M  
REXR,1.8B  
REXX,38.32M  
RF,16.94B  
RFIL,13.25M  
RGA,8B  
RGC,3.19B  
RGCO,176.8M  
RGEN,1.31B  
RGLD,5.15B  
RGLS,77.11M  
RGR,1.13B  
RGS,436.01M  
RGSE,8.38M  
RH,2.08B  
RHI,5.88B  
RHP,3.21B  
RHT,15.32B  
RIBT,9.73M  
RICE,4.41B  
RICK,199.53M  
RIGL,308.53M  
RJF,10.16B  
RKDA,31.44M  
RL,5.7B  
RLGT,283.05M  
RLGY,4.13B  
RLH,150.67M  
RLI,2.38B  
RLJ,2.52B  
RLJE,14.06M  
RLOG,11.17M  
RMAX,1.63B  
RMBS,1.35B  
RMCF,67.68M  
RMD,9.7B  
RMGN,30.79M  
RMP,2.59B  
RMTI,352.43M  
RNET,308.38M  
RNG,2.54B  
RNN,104.23M  
RNST,1.8B  
RNWK,156.19M  
ROCK,991.4M  
ROG,1.94B  
ROIAK,123.65M  
ROIC,2.39B  
ROK,20.27B  
ROKA,15.27M  
ROL,9.05B  
ROLL,2.31B  
ROP,22.61B  
ROSE,323.48M  
ROST,24.38B  
ROX,283.31M  
ROYT,74.47M  
RP,2.79B  
RPM,7.1B  
RPRX,14.84M  
RPT,1.05B  
RPXC,678.56M  
RRC,6.22B  
RRD,846.3M  
RRGB,938.84M  
RRTS,238.1M  
RS,5.25B  
RSG,20.75B  
RSO,286.38M  
RSPP,6.35B  
RST,253.5M  
RSYS,155.33M  
RT,131.72M  
RTEC,765.56M  
RTIX,284M  
RTK,9.96M  
RTN,46.65B  
RTRX,650.09M  
RUBI,244.6M  
RUSHA,1.41B  
RUTH,653.75M  
RVLT,173.93M  
RVNC,623.63M  
RVP,34.83M  
RVSB,142.99M  
RWC,65.76M  
RWT,1.26B  
RXDX,387.86M  
RXII,12.61M  
RXN,2.4B  
RYAM,569.22M  
RYN,3.57B  
SABR,6.34B  
SAEX,40.9M  
SAFM,2.62B  
SAFT,1.01B  
SAGE,2.45B  
SAH,839.05M  
SAIA,1.1B  
SAIC,3.14B  
SAJA,27.48M  
SAL,112.19M  
SALE,559.75M  
SALM,184.76M  
SAM,1.76B  
SAMG,157.89M  
SANM,2.75B  
SANW,73.72M  
SAR,122.06M  
SARA,3.87M  
SASR,948.18M  
SATS,5.54B  
SAVE,3.73B  
SBAC,16.11B  
SBCF,933.12M  
SBCP,185.4M  
SBFG,83.8M  
SBGI,3.4B  
SBH,2.54B  
SBNY,7.48B  
SBR,549.64M  
SBRA,1.58B  
SBSI,955.95M  
SBUX,88.86B  
SBY,810.23M  
SC,4.27B  
SCAI,2.27B  
SCCO,26.73B  
SCG,9.37B  
SCHL,1.47B  
SCHN,503.74M  
SCHW,51.16B  
SCI,6.01B  
SCL,1.87B  
SCLN,488.87M  
SCM,219.93M  
SCMP,490.2M  
SCON,18.94M  
SCOR,1.49B  
SCS,1.94B  
SCSC,948.02M  
SCSS,1.21B  
SCVL,351.85M  
SCX,69.11M  
SCYX,41.28M  
SD,730.26M  
SDPI,20.45M  
SDR,69.61M  
SDT,42.28M  
SEAC,87.57M  
SEAS,1.64B  
SEB,4.48B  
SEE,8.51B  
SEIC,7.95B  
SEM,1.85B  
SEMG,2.19B  
SENEA,339.67M  
SEP,13.79B  
SERV,4.92B  
SEV,82.84M  
SF,3.08B  
SFBS,1.84B  
SFE,222.93M  
SFLY,1.68B  
SFM,3.31B  
SFNC,1.61B  
SFS,986.16M  
SFST,248.79M  
SGA,288.63M  
SGBK,694.68M  
SGC,261.47M  
SGEN,9.5B  
SGM,206.06M  
SGMA,25.12M  
SGMO,561.13M  
SGMS,2.1B  
SGRP,19M  
SGU,556.52M  
SGY,436.6M  
SGYP,881.8M  
SHAK,1.39B  
SHBI,198.32M  
SHEN,1.53B  
SHLD,840.06M  
SHLM,839.07M  
SHLO,188.82M  
SHLX,5.59B  
SHO,3.48B  
SHOO,2.21B  
SHOR,413.06M  
SHOS,71.56M  
SHW,30.95B  
SIEB,90.99M  
SIEN,144.89M  
SIF,40.31M  
SIFI,170.69M  
SIGI,2.89B  
SIGM,234.62M  
SINO,28.7M  
SIR,2.15B  
SIRI,22.91B  
SIVB,9.22B  
SIX,5.57B  
SIXD,782.48k  
SJI,2.76B  
SJM,14.67B  
SJT,356.09M  
SJW,967.95M  
SKT,2.62B  
SKX,3.71B  
SKY,48.33M  
SKYW,1.78B  
SLAB,3.09B  
SLB,99.7B  
SLCA,3.28B  
SLCT,137.72M  
SLG,10.56B  
SLGN,3.4B  
SLM,4.71B  
SLP,199.56M  
SLRC,908.61M  
SM,2.39B  
SMCI,1.18B  
SMED,68.35M  
SMG,5.25B  
SMLP,1.76B  
SMLR,15.94M  
SMMF,265.89M  
SMP,1.11B  
SMRT,56.38M  
SMSI,15.49M  
SMTC,2.32B  
SN,514.32M  
SNA,9.6B  
SNAK,83.08M  
SNBC,468.87M  
SNC,679.84M  
SNCR,627.88M  
SNFCA,96.11M  
SNH,5.07B  
SNHY,1.12B  
SNI,8.83B  
SNMX,41.81M  
SNOW,936.23M  
SNPS,10.69B  
SNR,806.63M  
SNSS,69.75M  
SNV,5.04B  
SNX,4.35B  
SO,49.61B  
SOFO,19.09M  
SOHO,102.02M  
SON,5B  
SONA,202.76M  
SONC,1.21B  
SONS,380.83M  
SP,635.56M  
SPA,172.8M  
SPAN,79.95M  
SPAR,300.36M  
SPB,7.65B  
SPDC,265.7k  
SPEX,5.44M  
SPG,56.77B  
SPH,1.43B  
SPHS,74.98M  
SPKE,497.22M  
SPLK,9.12B  
SPLP,475.53M  
SPLS,5.7B  
SPN,1.81B  
SPNC,1.21B  
SPOK,348.08M  
SPP,204.38M  
SPPI,456.57M  
SPR,6.44B  
SPRT,45.89M  
SPSC,1B  
SPTN,1.35B  
SPWH,240.94M  
SPWR,1.05B  
SQBG,201.17M  
SRC,3.51B  
SRCE,1.18B  
SRCL,7.13B  
SRDX,301.37M  
SRE,27.97B  
SREV,280.9M  
SRI,458.46M  
SRLP,605.25M  
SRNE,118.61M  
SRPT,1.9B  
SRT,166.78M  
SSB,2.42B  
SSBI,76.81M  
SSD,1.95B  
SSFN,82.1M  
SSH,5.75M  
SSI,62.01M  
SSNC,7.54B  
SSNI,531.72M  
SSP,1.45B  
SSTK,1.54B  
SSY,14.84M  
SSYS,1.48B  
STAA,391.09M  
STAG,2.39B  
STAR,867.43M  
STAY,3.46B  
STBA,1.17B  
STBZ,983.14M  
STC,1.04B  
STDY,179.98M  
STE,6.42B  
STFC,1.04B  
STI,26.13B  
STKS,52.79M  
STL,2.95B  
STLD,8.27B  
STLY,16.43M  
STMP,2.05B  
STON,345.69M  
STOR,3.5B  
STRA,936.22M  
STRI,3.53M  
STRL,277.89M  
STRM,23.73M  
STRP,2.29B  
STRS,228.35M  
STRT,115.04M  
STS,340.93M  
STT,30.4B  
STWD,5.62B  
STXS,13.97M  
STZ,35.65B  
SUI,6.5B  
SUM,3B  
SUMR,32.42M  
SUN,3.51B  
SUNS,275.21M  
SUP,464.52M  
SUPN,1.69B  
SVBI,86.11M  
SVT,21.24M  
SVU,1.07B  
SVVC,61.75M  
SWC,2.19B  
SWFT,3.02B  
SWK,20.9B  
SWKS,19.17B  
SWM,1.17B  
SWN,3.54B  
SWX,3.68B  
SXC,555.08M  
SXCP,746.46M  
SXE,334.96M  
SXI,1.14B  
SXL,7.94B  
SXT,3.54B  
SYBT,837.3M  
SYF,21.77B  
SYK,51.13B  
SYKE,1.38B  
SYMC,17.96B  
SYMX,65.06M  
SYN,63.26M  
SYNA,1.91B  
SYNC,133.07M  
SYNL,102.41M  
SYNT,1.55B  
SYPR,31.56M  
SYX,589.8M  
SYY,29.21B  
T,235.1B  
TA,156.09M  
TACO,500.75M  
TACT,61.36M  
TAHO,2.93B  
TAL,10.01B  
TAP,20.27B  
TASR,1.15B  
TAST,448.88M  
TAT,67.22M  
TAX,201.28M  
TAYD,44.68M  
TBBK,346.39M  
TBI,1.08B  
TBIO,8.78M  
TBK,384.73M  
TBNK,275.69M  
TCAP,868.28M  
TCBI,3.73B  
TCBK,796.91M  
TCCO,4.42M  
TCI,169.65M  
TCO,5.1B  
TCON,53.15M  
TCP,3.99B  
TCPC,986.53M  
TCRD,317.73M  
TCS,194.87M  
TDC,3.74B  
TDG,13.3B  
TDS,3B  
TDW,35.3M  
TDY,4.51B  
TEAR,12.16M  
TECD,3.54B  
TECH,4.1B  
TEGP,1.59B  
TEN,2.98B  
TENX,14.22M  
TEP,3.72B  
TER,6.93B  
TERP,1.74B  
TESO,238.28M  
TESS,122.45M  
TEX,3.19B  
TFSL,4.44B  
TFX,8.84B  
TG,494.18M  
TGC,7.43M  
TGEN,75.16M  
TGI,1.14B  
TGT,30.89B  
TGTX,757.9M  
THC,1.77B  
THFF,557.41M  
THG,3.49B  
THLD,35.33M  
THO,4.91B  
THR,661.08M  
THRM,1.34B  
THS,4.38B  
THST,14.96M  
TICC,364.99M  
TIF,11.59B  
TIGR,619.2k  
TIK,13.35M  
TILE,1.23B  
TIME,1.18B  
TINY,40.18M  
TIS,136.93M  
TISI,731.96M  
TITN,323.14M  
TIVO,1.93B  
TJX,47.87B  
TKR,3.58B  
TLF,81.16M  
TLLP,5.92B  
TLOG,1.17M  
TLP,709.45M  
TLYS,246.37M  
TMHC,3.53B  
TMK,8.7B  
TMO,67.11B  
TMP,1.16B  
TMST,610.59M  
TMUS,55.14B  
TNAV,369.56M  
TNC,1.26B  
TNDM,45.14M  
TNET,2.1B  
TNGO,258.44M  
TNH,1.59B  
TNXP,32.33M  
TOL,6.15B  
TOWN,1.82B  
TOWR,487.66M  
TPC,1.31B  
TPH,2.02B  
TPL,2.27B  
TPLM,3.46M  
TPVG,213.78M  
TPX,2.48B  
TR,2.29B  
TRC,422.71M  
TRCB,148.49M  
TRCH,83.51M  
TRCO,3.48B  
TREC,266.78M  
TREE,1.88B  
TREX,1.87B  
TRGP,10.09B  
TRI,30.94B  
TRIP,6.23B  
TRK,702.2M  
TRMB,8.99B  
TRMK,2.11B  
TRMR,125.3M  
TRN,4.04B  
TRNO,1.52B  
TRNS,84.53M  
TROV,24.81M  
TROW,17.04B  
TROX,2.18B  
TRR,555.08M  
TRS,998.81M  
TRST,719.98M  
TRT,18.5M  
TRUE,1.63B  
TRUP,501.47M  
TRV,33.75B  
TRVN,180.15M  
TRXC,81.74M  
TSBK,164.16M  
TSC,699.62M  
TSCO,7.4B  
TSE,2.93B  
TSLA,51.06B  
TSLX,1.23B  
TSN,21.49B  
TSO,9.79B  
TSQ,183.21M  
TSRI,11.67M  
TSRO,8.21B  
TSS,10.77B  
TST,32.81M  
TTC,7.16B  
TTEC,1.78B  
TTEK,2.51B  
TTGT,247.82M  
TTI,400.03M  
TTMI,1.62B  
TTOO,98.82M  
TTPH,N/A  
TTS,1.06B  
TTWO,6.85B  
TUES,90.2M  
TUP,3.53B  
TWER,3.43M  
TWI,622.82M  
TWIN,181.54M  
TWMC,66.81M  
TWO,3.46B  
TWOU,2B  
TWTR,13.32B  
TWX,75.72B  
TXMD,858.53M  
TXN,80B  
TXRH,3.45B  
TXT,12.44B  
TYL,6.27B  
TYPE,750.47M  
TZOO,132.55M  
UA,8.1B  
UAL,24.15B  
UAM,592.5M  
UAMY,30.23M  
UAN,532.43M  
UBA,681M  
UBCP,60.06M  
UBFO,156.94M  
UBNK,824.73M  
UBNT,3.94B  
UBOH,70.73M  
UBSH,1.39B  
UBSI,4.01B  
UCBI,1.86B  
UCFC,397.48M  
UCP,208.7M  
UCTT,721.52M  
UDR,10.4B  
UE,2.61B  
UEC,198.97M  
UEIC,897.73M  
UFCS,1.09B  
UFI,500.19M  
UFPI,1.85B  
UFPT,194.9M  
UG,69.6M  
UGI,8.32B  
UHAL,7.43B  
UHS,11.52B  
UHT,978.53M  
UIHC,684.21M  
UIS,592.28M  
ULBI,92.94M  
ULTA,18.27B  
ULTI,6.34B  
UMBF,3.5B  
UMH,516.11M  
UMPQ,3.82B  
UNAM,52.28M  
UNB,178.7M  
UNF,2.79B  
UNFI,2.03B  
UNH,166.32B  
UNIS,2.69M  
UNM,10.38B  
UNP,86.44B  
UNT,1.09B  
UNTY,172.25M  
UNXL,22.65M  
UPL,2.35B  
UPLD,408.95M  
UPS,89.74B  
UQM,35.46M  
URBN,2.26B  
URG,83.41M  
URI,9.3B  
URRE,37.26M  
USAC,1.03B  
USAK,49.61M  
USAP,126.26M  
USAT,183.51M  
USB,86.12B  
USCR,1.08B  
USDP,323.66M  
USEG,5.03M  
USLM,434.64M  
USM,3.29B  
USNA,1.57B  
USPH,780.11M  
UTEK,820.08M  
UTHR,5.48B  
UTI,88.83M  
UTL,647.31M  
UTMD,235.23M  
UTX,97.08B  
UUU,6.71M  
UVE,859.28M  
UVSP,750.52M  
UVV,1.76B  
UWN,43.96M  
V,213.23B  
VAC,3.01B  
VAL,8.87B  
VALU,177.79M  
VAR,8.74B  
VBIV,170.26M  
VBTX,389.26M  
VC,3.18B  
VCEL,86.83M  
VCRA,727.27M  
VCYT,278.75M  
VDSI,556.91M  
VEC,311.71M  
VECO,1.27B  
VEEV,8.41B  
VFC,20.98B  
VG,1.43B  
VGR,2.71B  
VGZ,90.34M  
VHC,197.69M  
VHI,1.17B  
VIAB,14.3B  
VICL,25.19M  
VICR,658.97M  
VII,4.58M  
VIRC,67.55M  
VIRT,2.26B  
VISI,125.51M  
VIVO,573.96M  
VKTX,29.91M  
VLGEA,354.8M  
VLO,28.56B  
VLP,3.23B  
VLTC,6.96M  
VLY,3.01B  
VMC,16.65B  
VMI,3.38B  
VMW,37.79B  
VNCE,22.27M  
VNDA,634.87M  
VNO,18.99B  
VNOM,1.76B  
VNTV,12.59B  
VOC,74.97M  
VOXX,142.55M  
VOYA,6.57B  
VPG,236.6M  
VRA,280.74M  
VRML,99.84M  
VRNS,978.44M  
VRNT,2.51B  
VRS,125.98M  
VRSK,13.13B  
VRSN,9.05B  
VRTA,2.8M  
VRTB,6.1M  
VRTU,901.8M  
VRTV,702.94M  
VRTX,29.4B  
VSAR,561.58M  
VSAT,3.69B  
VSEC,462.47M  
VSH,2.38B  
VSI,283.77M  
VSLR,331.73M  
VSR,13.83M  
VSTM,86.93M  
VSTO,1.24B  
VTL,131.9M  
VTNR,32.15M  
VTR,23.99B  
VUZI,119.39M  
VVC,4.95B  
VVI,877.35M  
VVUS,109.91M  
VWR,4.33B  
VZ,185.28B  
W,5.36B  
WAB,7.86B  
WABC,1.38B  
WAC,57.37M  
WAFD,2.87B  
WAGE,2.6B  
WAIR,907.15M  
WAL,4.79B  
WASH,823.32M  
WAT,14.05B  
WATT,312.94M  
WBA,87.14B  
WBB,81.76M  
WBMD,2.02B  
WBS,4.5B  
WCC,3.02B  
WCG,7.6B  
WCN,16.13B  
WD,1.48B  
WDAY,20.14B  
WDC,25.24B  
WDFC,1.43B  
WDR,1.42B  
WEC,19.25B  
WEN,3.93B  
WERN,1.87B  
WES,8.1B  
WEX,4.28B  
WEYS,281.38M  
WFBI,441.14M  
WFC,265.16B  
WFM,11.48B  
WG,151.31M  
WGL,4.22B  
WGO,829.14M  
WGP,9.77B  
WHF,258.29M  
WHG,473.14M  
WHLR,86.37M  
WHR,13.25B  
WIFI,611.67M  
WIN,897.23M  
WINA,540.4M  
WIRE,849.65M  
WK,715.82M  
WLB,134.19M  
WLDN,277.11M  
WLFC,164.84M  
WLH,749.85M  
WLK,8.11B  
WLKP,676.49M  
WLL,3.22B  
WM,31.15B  
WMAR,246.39M  
WMB,24.95B  
WMC,421.71M  
WMGI,2.82B  
WMK,1.47B  
WMLP,53.49M  
WMS,1.23B  
WMT,238.8B  
WNC,1.27B  
WNR,3.95B  
WNRL,1.54B  
WOOF,7.46B  
WOR,2.65B  
WPC,6.8B  
WPCS,4.36M  
WPG,1.72B  
WPT,573.11M  
WPX,5.03B  
WPZ,39.33B  
WR,7.37B  
WRB,8.14B  
WRE,2.49B  
WRI,3.95B  
WRLD,709.98M  
WSBC,1.65B  
WSBF,404.58M  
WSCI,9.05M  
WSFS,1.38B  
WSM,4.29B  
WSO,4.6B  
WSR,453.03M  
WST,7.01B  
WSTC,1.93B  
WSTG,92.66M  
WSTL,40.81M  
WTBA,352.07M  
WTFC,3.84B  
WTI,309.77M  
WTR,5.63B  
WTS,2.17B  
WTT,33.43M  
WTW,1.67B  
WU,8.96B  
WVVI,40.01M  
WWAV,9.98B  
WWD,4.1B  
WWE,1.5B  
WWW,2.44B  
WY,24.83B  
WYN,9.98B  
WYNN,12.46B  
WYY,36.45M  
X,3.42B  
XBIT,295.74M  
XBKS,622.32M  
XCO,104.78M  
XCRA,525.85M  
XEC,11.18B  
XEL,23.28B  
XENT,654.58M  
XGTI,20M  
XHR,1.91B  
XLNX,16.6B  
XLRN,987.07M  
XNCR,1.02B  
XOM,347.16B  
XOMA,48.93M  
XON,2.81B  
XONE,221.46M  
XOXO,431.04M  
XPL,29.01M  
XPLR,20.95M  
XPO,5.9B  
XRAY,14.13B  
XRM,113.66M  
XRX,7.12B  
XXIA,1.63B  
XXII,124.53M  
XYL,9.35B  
Y,8.81B  
YELP,2.24B  
YHOO,48.1B  
YORW,412.93M  
YRCW,293.39M  
YUM,24.4B  
YUMA,25.21M  
YUME,143.7M  
Z,7.55B  
ZAGG,229.28M  
ZAIS,44.47M  
ZAYO,7.68B  
ZAZA,715.58k  
ZBRA,5.2B  
ZEN,2.46B  
ZEUS,191.32M  
ZFGN,111.96M  
ZGNX,331.26M  
ZION,8.13B  
ZIOP,981.47M  
ZIXI,316.6M  
ZLTQ,2.29B  
ZN,78.93M  
ZNGA,2.97B  
ZOES,354.31M  
ZTS,29.6B  
ZUMZ,376.31M  
